"Block1","dist","agent","persona"
1,"document_only","agent_3","persona_1"
1,"integrated","agent_1","persona_1"
1,"integrated","agent_2","persona_1"
1,"memory_only","agent_3","persona_1"
1,"document_only","agent_3","persona_2"
1,"integrated","agent_1","persona_2"
1,"integrated","agent_2","persona_2"
1,"memory_only","agent_3","persona_2"
1,"document_only","agent_3","persona_3"
1,"integrated","agent_1","persona_3"
1,"integrated","agent_2","persona_3"
1,"memory_only","agent_3","persona_3"
2,"integrated","agent_1","persona_1"
2,"integrated","agent_3","persona_1"
2,"memory_only","agent_2","persona_1"
2,"memory_only","agent_3","persona_1"
2,"integrated","agent_1","persona_2"
2,"integrated","agent_3","persona_2"
2,"memory_only","agent_2","persona_2"
2,"memory_only","agent_3","persona_2"
2,"integrated","agent_1","persona_3"
2,"integrated","agent_3","persona_3"
2,"memory_only","agent_2","persona_3"
2,"memory_only","agent_3","persona_3"
3,"document_only","agent_3","persona_1"
3,"integrated","agent_1","persona_1"
3,"memory_only","agent_2","persona_1"
3,"memory_only","agent_3","persona_1"
3,"document_only","agent_3","persona_2"
3,"integrated","agent_1","persona_2"
3,"memory_only","agent_2","persona_2"
3,"memory_only","agent_3","persona_2"
3,"document_only","agent_3","persona_3"
3,"integrated","agent_1","persona_3"
3,"memory_only","agent_2","persona_3"
3,"memory_only","agent_3","persona_3"
4,"integrated","agent_1","persona_1"
4,"memory_only","agent_1","persona_1"
4,"memory_only","agent_2","persona_1"
4,"memory_only","agent_3","persona_1"
4,"integrated","agent_1","persona_2"
4,"memory_only","agent_1","persona_2"
4,"memory_only","agent_2","persona_2"
4,"memory_only","agent_3","persona_2"
4,"integrated","agent_1","persona_3"
4,"memory_only","agent_1","persona_3"
4,"memory_only","agent_2","persona_3"
4,"memory_only","agent_3","persona_3"
5,"integrated","agent_1","persona_1"
5,"integrated","agent_3","persona_1"
5,"memory_only","agent_2","persona_1"
5,"memory_only","agent_3","persona_1"
5,"integrated","agent_1","persona_2"
5,"integrated","agent_3","persona_2"
5,"memory_only","agent_2","persona_2"
5,"memory_only","agent_3","persona_2"
5,"integrated","agent_1","persona_3"
5,"integrated","agent_3","persona_3"
5,"memory_only","agent_2","persona_3"
5,"memory_only","agent_3","persona_3"
6,"integrated","agent_1","persona_1"
6,"integrated","agent_3","persona_1"
6,"memory_only","agent_1","persona_1"
6,"memory_only","agent_3","persona_1"
6,"integrated","agent_1","persona_2"
6,"integrated","agent_3","persona_2"
6,"memory_only","agent_1","persona_2"
6,"memory_only","agent_3","persona_2"
6,"integrated","agent_1","persona_3"
6,"integrated","agent_3","persona_3"
6,"memory_only","agent_1","persona_3"
6,"memory_only","agent_3","persona_3"
7,"integrated","agent_1","persona_1"
7,"integrated","agent_3","persona_1"
7,"memory_only","agent_1","persona_1"
7,"memory_only","agent_2","persona_1"
7,"integrated","agent_1","persona_2"
7,"integrated","agent_3","persona_2"
7,"memory_only","agent_1","persona_2"
7,"memory_only","agent_2","persona_2"
7,"integrated","agent_1","persona_3"
7,"integrated","agent_3","persona_3"
7,"memory_only","agent_1","persona_3"
7,"memory_only","agent_2","persona_3"
8,"document_only","agent_3","persona_1"
8,"integrated","agent_1","persona_1"
8,"integrated","agent_3","persona_1"
8,"memory_only","agent_2","persona_1"
8,"document_only","agent_3","persona_2"
8,"integrated","agent_1","persona_2"
8,"integrated","agent_3","persona_2"
8,"memory_only","agent_2","persona_2"
8,"document_only","agent_3","persona_3"
8,"integrated","agent_1","persona_3"
8,"integrated","agent_3","persona_3"
8,"memory_only","agent_2","persona_3"
9,"document_only","agent_3","persona_1"
9,"integrated","agent_1","persona_1"
9,"memory_only","agent_2","persona_1"
9,"memory_only","agent_3","persona_1"
9,"document_only","agent_3","persona_2"
9,"integrated","agent_1","persona_2"
9,"memory_only","agent_2","persona_2"
9,"memory_only","agent_3","persona_2"
9,"document_only","agent_3","persona_3"
9,"integrated","agent_1","persona_3"
9,"memory_only","agent_2","persona_3"
9,"memory_only","agent_3","persona_3"
10,"document_only","agent_3","persona_1"
10,"integrated","agent_2","persona_1"
10,"memory_only","agent_2","persona_1"
10,"memory_only","agent_3","persona_1"
10,"document_only","agent_3","persona_2"
10,"integrated","agent_2","persona_2"
10,"memory_only","agent_2","persona_2"
10,"memory_only","agent_3","persona_2"
10,"document_only","agent_3","persona_3"
10,"integrated","agent_2","persona_3"
10,"memory_only","agent_2","persona_3"
10,"memory_only","agent_3","persona_3"
11,"document_only","agent_3","persona_1"
11,"integrated","agent_1","persona_1"
11,"memory_only","agent_1","persona_1"
11,"memory_only","agent_3","persona_1"
11,"document_only","agent_3","persona_2"
11,"integrated","agent_1","persona_2"
11,"memory_only","agent_1","persona_2"
11,"memory_only","agent_3","persona_2"
11,"document_only","agent_3","persona_3"
11,"integrated","agent_1","persona_3"
11,"memory_only","agent_1","persona_3"
11,"memory_only","agent_3","persona_3"
12,"document_only","agent_3","persona_1"
12,"integrated","agent_1","persona_1"
12,"integrated","agent_3","persona_1"
12,"memory_only","agent_1","persona_1"
12,"document_only","agent_3","persona_2"
12,"integrated","agent_1","persona_2"
12,"integrated","agent_3","persona_2"
12,"memory_only","agent_1","persona_2"
12,"document_only","agent_3","persona_3"
12,"integrated","agent_1","persona_3"
12,"integrated","agent_3","persona_3"
12,"memory_only","agent_1","persona_3"
13,"integrated","agent_1","persona_1"
13,"integrated","agent_2","persona_1"
13,"memory_only","agent_1","persona_1"
13,"memory_only","agent_3","persona_1"
13,"integrated","agent_1","persona_2"
13,"integrated","agent_2","persona_2"
13,"memory_only","agent_1","persona_2"
13,"memory_only","agent_3","persona_2"
13,"integrated","agent_1","persona_3"
13,"integrated","agent_2","persona_3"
13,"memory_only","agent_1","persona_3"
13,"memory_only","agent_3","persona_3"
14,"integrated","agent_1","persona_1"
14,"integrated","agent_2","persona_1"
14,"memory_only","agent_1","persona_1"
14,"memory_only","agent_2","persona_1"
14,"integrated","agent_1","persona_2"
14,"integrated","agent_2","persona_2"
14,"memory_only","agent_1","persona_2"
14,"memory_only","agent_2","persona_2"
14,"integrated","agent_1","persona_3"
14,"integrated","agent_2","persona_3"
14,"memory_only","agent_1","persona_3"
14,"memory_only","agent_2","persona_3"
15,"document_only","agent_4","persona_1"
15,"integrated","agent_1","persona_1"
15,"memory_only","agent_2","persona_1"
15,"memory_only","agent_3","persona_1"
15,"document_only","agent_4","persona_2"
15,"integrated","agent_1","persona_2"
15,"memory_only","agent_2","persona_2"
15,"memory_only","agent_3","persona_2"
15,"document_only","agent_4","persona_3"
15,"integrated","agent_1","persona_3"
15,"memory_only","agent_2","persona_3"
15,"memory_only","agent_3","persona_3"
16,"document_only","agent_4","persona_1"
16,"integrated","agent_1","persona_1"
16,"integrated","agent_3","persona_1"
16,"memory_only","agent_2","persona_1"
16,"document_only","agent_4","persona_2"
16,"integrated","agent_1","persona_2"
16,"integrated","agent_3","persona_2"
16,"memory_only","agent_2","persona_2"
16,"document_only","agent_4","persona_3"
16,"integrated","agent_1","persona_3"
16,"integrated","agent_3","persona_3"
16,"memory_only","agent_2","persona_3"
17,"document_only","agent_1","persona_1"
17,"document_only","agent_3","persona_1"
17,"integrated","agent_3","persona_1"
17,"memory_only","agent_1","persona_1"
17,"document_only","agent_1","persona_2"
17,"document_only","agent_3","persona_2"
17,"integrated","agent_3","persona_2"
17,"memory_only","agent_1","persona_2"
17,"document_only","agent_1","persona_3"
