"parameter","type","power","anticoef","alpha","glmfamily","trials","nsim","blocking","error_adjusted_alpha","power_lcb","power_ucb"
"(Intercept)","effect.power.mc",1,NA,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"persona","effect.power.mc",1,NA,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"dist","effect.power.mc",1,NA,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"agent","effect.power.mc",1,NA,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"dist:agent","effect.power.mc",1,NA,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"(Intercept)","parameter.power.mc",1,0.895879734614028,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"persona1","parameter.power.mc",1,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"persona2","parameter.power.mc",1,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"dist1","parameter.power.mc",1,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"dist2","parameter.power.mc",1,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"agent1","parameter.power.mc",1,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"agent2","parameter.power.mc",1,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.996317916103134,1
"agent3","parameter.power.mc",0.999,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.994441075720173,0.999974682512509
"dist1:agent1","parameter.power.mc",0.925,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.906891553038501,0.940553871788737
"dist2:agent1","parameter.power.mc",0.971,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.958615280883598,0.980494062675615
"dist1:agent2","parameter.power.mc",0.966,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.952810561384293,0.976341351892403
"dist2:agent2","parameter.power.mc",0.975,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.963315176948077,0.983757464303118
"dist1:agent3","parameter.power.mc",0.928,0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.910184250824649,0.943241312445438
"dist2:agent3","parameter.power.mc",0.981,-0.490414626505863,0.05,"binomial",2520,1000,TRUE,0.05,0.970487598374902,0.988522963006899
